City,Count
Aaronfort,1
Aaronville,1
Acevedomouth,1
Adamsfurt,1
Adamston,1
Aguilarchester,1
Aguirrebury,1
Aimeeville,1
Alexandriamouth,1
Alexaside,1
Alexberg,1
Alexfort,1
Alextown,1
Alexville,1
Alfredhaven,1
Alfredshire,1
Alvaradoton,1
Andradeberg,1
Andreburgh,1
Anthonyberg,1
Anthonyport,1
Anthonyshire,1
Anthonyville,1
Antonioside,1
Armstrongtown,1
Arroyoland,1
Atkinsfurt,1
Atkinsonberg,1
Autumnland,1
Baileyside,1
Barbaraborough,1
Barrettshire,1
Batesport,1
Batesville,1
Beardfort,1
Bellchester,1
Benjaminchester,1
Bennettmouth,1
Bensonmouth,1
Bernardmouth,1
Berrymouth,2
Bethanystad,1
Bethside,1
Bettyland,1
Beverlymouth,1
Billytown,1
Birdtown,1
Blakechester,1
Blanchardfurt,1
Bonnieport,1
Bradfordmouth,1
Bradleymouth,1
Branchview,1
Brandtshire,1
Brandtville,1
Breannaton,1
Brewerbury,1
Brianbury,1
Briannaland,1
Brightburgh,1
Brittneyton,1
Bruceville,1
Bryantland,1
Burchchester,1
Bushview,1
Calebbury,1
Cameronfurt,1
Campbellside,1
Candacestad,1
Carlsonfort,1
Carlsonfurt,1
Carneyfurt,1
Carrfurt,1
Caseyborough,1
Castanedamouth,1
Cathyton,1
Cervantesmouth,1
Chadborough,1
Chaneychester,1
Charlenebury,1
Charleneland,1
Charlottestad,1
Chenton,1
Christianbury,1
Christyville,1
Chungbury,1
Claireberg,1
Clarenceton,1
Clarketon,1
Clarketown,1
Cliffordburgh,1
Coleburgh,1
Colechester,1
Colemanfurt,1
Colinberg,1
Collinsland,1
Collinstown,1
Collinton,1
Conradport,1
Coreychester,1
Corystad,1
Costaville,1
Coxburgh,2
Cristianmouth,1
Crystalburgh,1
Daisytown,1
Dalemouth,1
Danielview,1
Darinshire,1
Dariusview,1
Darrellstad,1
Darrenmouth,1
Darrylstad,1
Daveborough,1
Dawsonshire,1
Deanberg,1
Deanchester,1
Debraberg,1
Deniseburgh,2
Dennisfurt,1
Derrickland,1
Dianamouth,1
Dickersonville,1
Dicksonburgh,1
Dillonmouth,1
Donaldton,1
Dorisport,1
Doughertyfurt,1
Douglasland,1
Douglasstad,1
Dudleyfurt,1
Duncanside,1
Duncanview,1
Dylanberg,1
East Alan,1
East Alberthaven,1
East Alejandraland,1
East Alyssa,1
East Andre,1
East Angieside,1
East Brad,1
East Brandon,1
East Brookebury,1
East Casey,1
East Chelseyfurt,1
East Chloeshire,1
East Courtney,1
East Courtneyview,1
East Daniellestad,1
East Darin,1
East Dianeport,1
East Dominique,1
East Dorothy,1
East Douglasberg,1
East Edwin,1
East Elizabethfort,1
East Emily,1
